recommendation	placement	known_policy	clicks	cost_rub	conversions	cpa_rub	conversion_rate_pct	impressions	ad_network_types	campaigns	reason	raw_examples
ok	com.openmygame.games.ios.wordspizza		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.openmygame.games.ios.wordspizza
ok	com.p.cl.idolly.dressup		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		com.p.cl.idolly.dressup
ok	com.pethouse.rr.huawei		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.pethouse.rr.huawei
ok	com.playstrom.dop2		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.playstrom.dop2
ok	com.robtopx.geometryjumplite		0.00	0.00	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		com.robtopx.geometryjumplite
ok	com.s-g-i.edadeal		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.s-g-i.Edadeal
ok	com.screw3d.match.nuts.bolts.pin.jam.away.puzzle		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.screw3d.match.nuts.bolts.pin.jam.away.puzzle
ok	com.seenax.hideandseek		0.00	0.00	0.00	0.00	0.00	4.00	AD_NETWORK	Портфолио		com.seenax.HideAndSeek
ok	com.sorting.games.match3d.goods.triple.puzzle		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.sorting.games.match3d.goods.triple.puzzle
ok	com.sweet.sliding.2		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.sweet.sliding.2
ok	com.taketop.monster.world.pocket		0.00	0.00	0.00	0.00	0.00	7.00	AD_NETWORK	Портфолио		com.taketop.monster.world.pocket
ok	com.tangled.rope		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.tangled.rope
ok	com.tapjoy.eatthemall		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		com.tapjoy.eatthemall
ok	com.tfgco.apps.coloring.free.color.by.number		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.tfgco.apps.coloring.free.color.by.number
ok	com.tiptop.free.super.fast.link		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.tiptop.free.super.fast.link
ok	com.toplinkc.foxexcellent		0.00	0.00	0.00	0.00	0.00	4.00	AD_NETWORK	Портфолио		com.toplinkc.foxexcellent
ok	com.udonistemple.magicalmixing		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		com.udonistemple.magicalmixing
ok	com.unityuserco.escapehauntedhouseonline		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		com.UnityUserco.EscapeHauntedHouseOnline
ok	com.valeryinc.casesimulator		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		com.valeryinc.CaseSimulator
ok	com.vk.vkclient		0.00	0.00	0.00	0.00	0.00	21.00	AD_NETWORK	Портфолио		com.vk.vkclient
ok	com.vkontakte.android		0.00	0.00	0.00	0.00	0.00	9.00	AD_NETWORK	Портфолио		com.vkontakte.android
ok	com.wallpaperscraft.wallpaper		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.wallpaperscraft.wallpaper
ok	com.water.hue.sort.puzzle.color.match.sorting.games		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		com.water.hue.sort.puzzle.color.match.sorting.games
ok	com.wood.bolt.wordle.screw.nuts.puzzle		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.wood.bolt.wordle.screw.nuts.puzzle
ok	com.words.puzzle.word.search		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.words.puzzle.word.search
ok	com.wrajmudrachickenfresh_13995556		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.wRajmudraChickenFresh_13995556
ok	com.xgfs.happytc.mi		0.00	0.00	0.00	0.00	0.00	4.00	AD_NETWORK	Портфолио		com.xgfs.happytc.mi
ok	com.yandex.zen		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.yandex.zen
ok	com.zm.watersort		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.zm.watersort
ok	companium.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		companium.ru
ok	daily.number.match.free.puzzle		0.00	0.00	0.00	0.00	0.00	5.00	AD_NETWORK	Портфолио		daily.number.match.free.puzzle
ok	deti-online.com		0.00	0.00	0.00	0.00	0.00	8.00	AD_NETWORK	Портфолио		deti-online.com
ok	digital.pinnaclewave.vpn.work.huade		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		digital.pinnaclewave.vpn.work.huade
ok	disk.yandex.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		disk.yandex.ru
ok	dom2n.ru		0.00	0.00	0.00	0.00	0.00	2.00	AD_NETWORK	Портфолио		dom2n.ru
ok	doramatv.one		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		doramatv.one
ok	doramclub.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		doramclub.ru
ok	e.mail.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		e.mail.ru
ok	e1.ru		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		e1.ru
ok	eadaily.com		0.00	0.00	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		eadaily.com
